email,gender,birth_date,annual_income,spending_score,subscribed_to_newsletter,last_purchase_date,customer_type
jonesbrittany@example.org,Male,1998-08-06,52819,14,True,2023-05-25 04:28:02.417332,Budget
vsimpson@example.com,Other,2007-01-13,60210,38,True,2024-05-22 04:28:02.417332,Standard
kennethmcknight@example.org,Female,1995-01-12,40179,38,False,2024-05-09 04:28:02.417332,Standard
deborah41@example.org,Female,1979-12-18,52792,4,True,2024-06-30 04:28:02.417332,Standard
shawbrianna@example.com,Male,1984-06-04,52014,62,True,2023-04-17 04:28:02.417332,Budget
timothy67@example.com,Male,1985-05-25,57772,82,False,2024-01-06 04:28:02.417332,Standard
darrylflores@example.org,Male,1994-07-21,59991,10,True,2023-09-15 04:28:02.417332,Budget
xthomas@example.org,Female,2006-03-11,63397,35,False,2023-12-03 04:28:02.417332,Standard
tylermorgan@example.net,Female,1984-04-08,58564,99,True,2024-12-16 04:28:02.417332,Standard
pamelaavila@example.net,Female,2001-07-08,36838,23,True,2023-09-13 04:28:02.417332,Standard
stephanie96@example.org,Male,1963-11-29,40922,89,True,2024-07-30 04:28:02.417332,Standard
awalsh@example.org,Other,1984-02-23,46803,65,True,2024-10-20 04:28:02.417332,Standard
phillip96@example.net,Female,1997-08-03,50766,82,True,2023-10-23 04:28:02.417332,Budget
mercerjames@example.org,Male,1997-11-14,70761,79,True,2025-04-01 04:28:02.417332,Premium
jessicagentry@example.net,Male,1992-08-13,37555,25,True,2024-11-16 04:28:02.417332,Standard
jeremyweaver@example.com,Male,1992-12-18,49638,96,True,2024-11-02 04:28:02.417332,Standard
morrisondenise@example.net,Male,1977-01-03,69295,53,False,2024-10-04 04:28:02.417332,Standard
qbrown@example.net,Female,1988-01-03,50501,84,False,2023-12-02 04:28:02.417332,Standard
allencompton@example.com,Male,1999-04-01,61906,17,False,2023-05-03 04:28:02.417332,Budget
richard40@example.net,Male,1968-04-05,52906,57,True,2025-03-15 04:28:02.417332,Standard
mariesnow@example.net,Female,1990-01-08,58851,75,False,2024-08-20 04:28:02.417332,Standard
jamiemoss@example.org,Male,1981-07-07,51572,77,True,2024-12-18 04:28:02.417332,Standard
jessica65@example.net,Male,1998-07-08,65005,89,True,2023-04-15 04:28:02.417332,Budget
benjamin69@example.org,Male,1986-02-04,31824,20,True,2023-05-05 04:28:02.417332,Standard
wscott@example.net,Male,1987-07-26,49550,25,False,2025-01-27 04:28:02.417332,Standard
nicole25@example.net,Female,2007-08-03,59448,42,False,2024-05-04 04:28:02.417332,Standard
belindabowen@example.org,Male,1966-03-06,63005,45,False,2024-03-26 04:28:02.417332,Standard
nathangould@example.org,Female,1975-01-18,77394,31,True,2024-09-07 04:28:02.417332,Standard
latoyagonzalez@example.com,Female,1995-06-08,49134,65,False,2024-08-16 04:28:02.417332,Standard
william09@example.com,Male,2003-11-27,77192,52,True,2023-08-30 04:28:02.417332,Budget
jodityler@example.net,Female,1985-12-04,45114,80,True,2024-11-11 04:28:02.417332,Standard
rcopeland@example.org,Male,1988-11-01,74929,92,True,2023-04-15 04:28:02.417332,Standard
marvindavis@example.com,Male,1986-09-11,67262,21,True,2023-05-17 04:28:02.417332,Budget
sherryhunt@example.org,Other,1987-11-01,41298,30,True,2023-04-24 04:28:02.417332,Budget
hernandezandrew@example.org,Other,1983-12-12,59605,3,False,2024-05-06 04:28:02.417332,Standard
sblack@example.org,Female,1973-01-11,54231,98,True,2023-04-24 04:28:02.417332,Budget
moorethomas@example.org,Male,1984-09-16,64383,70,True,2024-07-05 04:28:02.417332,Standard
ppitts@example.net,Male,2003-06-28,51650,43,True,2023-04-22 04:28:02.417332,Budget
